Designator,Mid X,Mid Y,Rotation,Layer
C1,172.3,-73.3,270.0,top
C2,177.0,-77.8,90.0,top
C3,189.0,-83.0,270.0,top
C4,206.3,-68.2,270.0,top
D1,170.4,-82.5,180.0,top
D2,183.3,-82.3,180.0,top
D3,193.0,-83.2,90.0,top
F1,168.3875,-79.4,0.0,top
L1,194.4,-67.9,90.0,top
R1,188.1152,-74.999233,270.0,top
R2,197.2,-83.2125,90.0,top
RV1,194.64,-78.1,0.0,top
VR1,182.4,-69.7,90.0,top
